[394, 203, 11, 17, 'note', 'A', 0.91]
[1927, 181, 11, 17, 'note', 'A', 0.91]
[1264, 41, 11, 17, 'note', 'A', 0.91]
[2173, 484, 11, 17, 'note', 'A', 0.91]
[1493, 392, 11, 17, 'note', 'A', 0.91]
[502, 1532, 11, 17, 'note', 'A', 0.91]
[733, 1748, 11, 17, 'note', 'A', 0.91]
[913, 661, 11, 17, 'note', 'A', 0.91]
[1495, 392, 11, 17, 'note', 'A', 0.91]
[1283, 949, 11, 17, 'note', 'A', 0.91]
[871, 48, 11, 17, 'note', 'A', 0.91]
[1725, 1251, 11, 17, 'note', 'A', 0.91]
[2230, 1281, 11, 17, 'note', 'A', 0.91]
[529, 62, 11, 17, 'note', 'A', 0.91]
[1929, 1525, 11, 17, 'note', 'A', 0.91]
[2414, 487, 11, 17, 'note', 'A', 0.91]
[1043, 287, 11, 17, 'note', 'A', 0.91]
[1505, 1083, 11, 17, 'note', 'A', 0.91]
[1967, 1341, 11, 17, 'note', 'A', 0.91]
[1287, 393, 11, 17, 'note', 'A', 0.91]
[1079, 420, 11, 17, 'note', 'A', 0.91]
[479, 611, 11, 17, 'note', 'A', 0.91]
[2238, 1060, 11, 17, 'note', 'A', 0.91]
[910, 1463, 11, 17, 'note', 'A', 0.91]
[1290, 1212, 11, 17, 'note', 'A', 0.91]
[503, 1531, 11, 17, 'note', 'A', 0.91]
[1057, 717, 11, 17, 'note', 'A', 0.91]
[2367, 1001, 11, 17, 'note', 'A', 0.91]
[1482, 341, 11, 17, 'note', 'A', 0.91]
[1095, 1476, 11, 17, 'note', 'A', 0.91]
[2218, 873, 11, 17, 'note', 'A', 0.91]
[2252, 1649, 11, 17, 'note', 'A', 0.91]
[854, 1196, 11, 17, 'note', 'A', 0.91]
[1500, 443, 11, 17, 'note', 'A', 0.91]
[1479, 281, 11, 17, 'note', 'A', 0.91]
[1747, 814, 11, 17, 'note', 'A', 0.91]
[2333, 11, 11, 17, 'note', 'A', 0.91]
[1959, 778, 11, 17, 'note', 'A', 0.91]
[2410, 1305, 11, 17, 'note', 'A', 0.91]
[1507, 534, 11, 17, 'note', 'A', 0.91]
[2174, 398, 11, 17, 'note', 'A', 0.91]
[1095, 1475, 11, 17, 'note', 'A', 0.91]
[2334, 741, 11, 17, 'note', 'A', 0.91]
[1926, 1526, 11, 17, 'note', 'A', 0.91]
[2433, 306, 11, 17, 'note', 'A', 0.91]
[1940, 1627, 11, 17, 'note', 'A', 0.91]
[2273, 629, 11, 17, 'note', 'A', 0.91]
[2346, 1337, 11, 17, 'note', 'A', 0.91]
[401, 195, 11, 17, 'note', 'A', 0.91]
[957, 199, 11, 17, 'note', 'A', 0.91]
[582, 159, 11, 17, 'note', 'A', 0.91]
[2288, 1233, 11, 17, 'note', 'A', 0.91]
[708, 1565, 11, 17, 'note', 'A', 0.91]
