[316, 1329, 11, 17, 'note', 'A', 0.913]
[155, 245, 11, 17, 'note', 'A', 0.913]
[248, 5, 11, 17, 'note', 'A', 0.913]
[89, 1771, 11, 17, 'note', 'A', 0.913]
[183, 1161, 11, 17, 'note', 'A', 0.913]
[353, 291, 11, 17, 'note', 'A', 0.913]
[134, 683, 11, 17, 'note', 'A', 0.913]
[142, 440, 11, 17, 'note', 'A', 0.913]
[284, 57, 11, 17, 'note', 'A', 0.913]
[103, 1170, 11, 17, 'note', 'A', 0.913]
[368, 1686, 11, 17, 'note', 'A', 0.913]
[156, 244, 11, 17, 'note', 'A', 0.913]
[168, 512, 11, 17, 'note', 'A', 0.913]
[184, 1265, 11, 17, 'note', 'A', 0.913]
[260, 3, 11, 17, 'note', 'A', 0.913]
[146, 1370, 11, 17, 'note', 'A', 0.913]
[346, 723, 11, 17, 'note', 'A', 0.913]
[125, 523, 11, 17, 'note', 'A', 0.913]
[317, 517, 11, 17, 'note', 'A', 0.913]
[299, 1770, 11, 17, 'note', 'A', 0.913]
[129, 883, 11, 17, 'note', 'A', 0.913]
[88, 396, 11, 17, 'note', 'A', 0.913]
[244, 6, 11, 17, 'note', 'A', 0.913]
[279, 35, 11, 17, 'note', 'A', 0.913]
[162, 1652, 11, 17, 'note', 'A', 0.913]
[86, 1250, 11, 17, 'note', 'A', 0.913]
[136, 40, 11, 17, 'note', 'A', 0.913]
[294, 589, 11, 17, 'note', 'A', 0.913]
[84, 482, 11, 17, 'note', 'A', 0.913]
[335, 1518, 11, 17, 'note', 'A', 0.913]
[338, 1515, 11, 17, 'note', 'A', 0.913]
[353, 401, 11, 17, 'note', 'A', 0.913]
[263, 1331, 11, 17, 'note', 'A', 0.913]
[249, 631, 11, 17, 'note', 'A', 0.913]
[134, 247, 11, 17, 'note', 'A', 0.913]
[286, 57, 11, 17, 'note', 'A', 0.913]
[90, 1771, 11, 17, 'note', 'A', 0.913]
[350, 1592, 11, 17, 'note', 'A', 0.913]
[118, 776, 11, 17, 'note', 'A', 0.913]
[308, 914, 11, 17, 'note', 'A', 0.913]
[311, 1682, 11, 17, 'note', 'A', 0.913]
[117, 1044, 11, 17, 'note', 'A', 0.913]
[342, 1514, 11, 17, 'note', 'A', 0.913]
[303, 639, 11, 17, 'note', 'A', 0.913]
[90, 473, 11, 17, 'note', 'A', 0.913]
[140, 856, 11, 17, 'note', 'A', 0.913]
[126, 1641, 11, 17, 'note', 'A', 0.913]
[253, 1235, 11, 17, 'note', 'A', 0.913]
[330, 922, 11, 17, 'note', 'A', 0.913]
[157, 1047, 11, 17, 'note', 'A', 0.913]
[149, 1447, 11, 17, 'note', 'A', 0.913]
[101, 682, 11, 17, 'note', 'A', 0.913]
[137, 776, 11, 17, 'note', 'A', 0.913]
[286, 638, 11, 17, 'note', 'A', 0.913]
[103, 349, 11, 17, 'note', 'A', 0.913]
[180, 1162, 11, 17, 'note', 'A', 0.913]
[159, 522, 11, 17, 'note', 'A', 0.913]
[138, 960, 11, 17, 'note', 'A', 0.913]
[263, 1329, 11, 17, 'note', 'A', 0.913]
[312, 715, 11, 17, 'note', 'A', 0.913]
[193, 235, 11, 17, 'note', 'A', 0.913]
[250, 631, 11, 17, 'note', 'A', 0.913]
[124, 1278, 11, 17, 'note', 'A', 0.913]
[119, 777, 11, 17, 'note', 'A', 0.913]
[285, 57, 11, 17, 'note', 'A', 0.913]
[107, 883, 11, 17, 'note', 'A', 0.913]
[156, 338, 11, 17, 'note', 'A', 0.913]
[357, 1650, 11, 17, 'note', 'A', 0.913]
[359, 393, 11, 17, 'note', 'A', 0.913]
[332, 170, 11, 17, 'note', 'A', 0.913]
[102, 777, 11, 17, 'note', 'A', 0.913]
[135, 961, 11, 17, 'note', 'A', 0.913]
[325, 808, 11, 17, 'note', 'A', 0.913]
[343, 1507, 11, 17, 'note', 'A', 0.913]
[152, 246, 11, 17, 'note', 'A', 0.913]
[296, 54, 11, 17, 'note', 'A', 0.913]
[295, 55, 11, 17, 'note', 'A', 0.913]
[294, 591, 11, 17, 'note', 'A', 0.913]
[370, 1686, 11, 17, 'note', 'A', 0.913]
[135, 1055, 11, 17, 'note', 'A', 0.913]
[88, 479, 11, 17, 'note', 'A', 0.913]
[77, 35, 11, 17, 'note', 'A', 0.913]
[124, 1277, 11, 17, 'note', 'A', 0.913]
[256, 5, 11, 17, 'note', 'A', 0.913]
[54, 56, 11, 17, 'note', 'A', 0.913]
[333, 1422, 11, 17, 'note', 'A', 0.913]
[122, 1649, 11, 17, 'note', 'A', 0.913]
[146, 1556, 11, 17, 'note', 'A', 0.913]
[315, 517, 11, 17, 'note', 'A', 0.913]
[346, 1053, 11, 17, 'note', 'A', 0.913]
[356, 295, 11, 17, 'note', 'A', 0.913]
[366, 1689, 11, 17, 'note', 'A', 0.913]
[107, 884, 11, 17, 'note', 'A', 0.913]
[110, 1277, 11, 17, 'note', 'A', 0.913]
[356, 1317, 11, 17, 'note', 'A', 0.913]
[149, 1162, 11, 17, 'note', 'A', 0.913]
